From	Entry	Entry Name	Gene Names	Organism
GNPDA1	P46926	GNPI1_HUMAN	GNPDA1 GNPI HLN KIAA0060	Homo sapiens (Human)
GNPDA1	D6R917	D6R917_HUMAN	GNPDA1	Homo sapiens (Human)
GNPDA1	D6R9P4	D6R9P4_HUMAN	GNPDA1	Homo sapiens (Human)
GNPDA1	D6RAY7	D6RAY7_HUMAN	GNPDA1	Homo sapiens (Human)
GNPDA1	D6RB13	D6RB13_HUMAN	GNPDA1	Homo sapiens (Human)
GNPDA1	D6RFF8	D6RFF8_HUMAN	GNPDA1	Homo sapiens (Human)
GNPDA1	D6RFK5	D6RFK5_HUMAN	GNPDA1	Homo sapiens (Human)
CDH3	P22223	CADH3_HUMAN	CDH3 CDHP	Homo sapiens (Human)
CDH3	P55291	CAD15_HUMAN	CDH15 CDH14 CDH3	Homo sapiens (Human)
CDH3	J3KRQ1	J3KRQ1_HUMAN	CDH3	Homo sapiens (Human)
CDH3	J3QKW6	J3QKW6_HUMAN	CDH3	Homo sapiens (Human)
CDH3	J3QL41	J3QL41_HUMAN	CDH3	Homo sapiens (Human)
CDH3	J3QL75	J3QL75_HUMAN	CDH3	Homo sapiens (Human)
CDH3	J3QR34	J3QR34_HUMAN	CDH3	Homo sapiens (Human)
CDH3	J3QR60	J3QR60_HUMAN	CDH3	Homo sapiens (Human)
HDAC6	Q9UBN7	HDAC6_HUMAN	HDAC6 KIAA0901 JM21	Homo sapiens (Human)
HDAC6	A0A2R8Y559	A0A2R8Y559_HUMAN	HDAC6	Homo sapiens (Human)
HDAC6	A0A2R8Y5Z4	A0A2R8Y5Z4_HUMAN	HDAC6	Homo sapiens (Human)
HDAC6	A0A2R8Y6Z9	A0A2R8Y6Z9_HUMAN	HDAC6	Homo sapiens (Human)
HDAC6	A0A2R8Y758	A0A2R8Y758_HUMAN	HDAC6	Homo sapiens (Human)
HDAC6	A0A2R8YCS4	A0A2R8YCS4_HUMAN	HDAC6	Homo sapiens (Human)
HDAC6	A0A2R8YDE6	A0A2R8YDE6_HUMAN	HDAC6	Homo sapiens (Human)
HDAC6	A0A8V8TKY7	A0A8V8TKY7_HUMAN	HDAC6	Homo sapiens (Human)
HDAC6	A0A8V8TL08	A0A8V8TL08_HUMAN	HDAC6	Homo sapiens (Human)
HDAC6	A0A8V8TLA9	A0A8V8TLA9_HUMAN	HDAC6	Homo sapiens (Human)
HDAC6	A0A8V8TM63	A0A8V8TM63_HUMAN	HDAC6	Homo sapiens (Human)
HDAC6	A0A8V8TMA5	A0A8V8TMA5_HUMAN	HDAC6	Homo sapiens (Human)
HDAC6	A6NDI8	A6NDI8_HUMAN	HDAC6	Homo sapiens (Human)
HDAC6	C9J172	C9J172_HUMAN	HDAC6	Homo sapiens (Human)
HDAC6	E7EP63	E7EP63_HUMAN	HDAC6	Homo sapiens (Human)
HDAC6	E7ER52	E7ER52_HUMAN	HDAC6	Homo sapiens (Human)
HDAC6	Q9BRX7	Q9BRX7_HUMAN	HDAC6	Homo sapiens (Human)
PARP2	Q9UGN5	PARP2_HUMAN	PARP2 ADPRT2 ADPRTL2	Homo sapiens (Human)
PARP2	E9PJ27	E9PJ27_HUMAN	PARP2	Homo sapiens (Human)
PARP2	G3V167	G3V167_HUMAN	PARP2 hCG_40481	Homo sapiens (Human)
PARP2	H0YH02	H0YH02_HUMAN	PARP2	Homo sapiens (Human)
MAMLD1	Q13495	MAMD1_HUMAN	MAMLD1 CG1 CXorf6	Homo sapiens (Human)
MAMLD1	A0A804HJ96	A0A804HJ96_HUMAN	MAMLD1	Homo sapiens (Human)
MAMLD1	A0A804HJD4	A0A804HJD4_HUMAN	MAMLD1	Homo sapiens (Human)
MAMLD1	A0A804HKM8	A0A804HKM8_HUMAN	MAMLD1	Homo sapiens (Human)
MAMLD1	A0A8C8KAR0	A0A8C8KAR0_HUMAN	MAMLD1	Homo sapiens (Human)
MAMLD1	F8WAK3	F8WAK3_HUMAN	MAMLD1	Homo sapiens (Human)
MAMLD1	L0R6K4	L0R6K4_HUMAN	MAMLD1	Homo sapiens (Human)
DNAJB6	O75190	DNJB6_HUMAN	DNAJB6 HSJ2 MRJ MSJ1	Homo sapiens (Human)
DNAJB6	A0A0J9YX62	A0A0J9YX62_HUMAN	DNAJB6	Homo sapiens (Human)
DNAJB6	C9J2C4	C9J2C4_HUMAN	DNAJB6	Homo sapiens (Human)
DNAJB6	C9J2P2	C9J2P2_HUMAN	DNAJB6	Homo sapiens (Human)
DNAJB6	C9JB42	C9JB42_HUMAN	DNAJB6	Homo sapiens (Human)
DNAJB6	C9JDR7	C9JDR7_HUMAN	DNAJB6	Homo sapiens (Human)
DNAJB6	C9JDX6	C9JDX6_HUMAN	DNAJB6	Homo sapiens (Human)
DNAJB6	C9JN01	C9JN01_HUMAN	DNAJB6	Homo sapiens (Human)
DNAJB6	E9PH18	E9PH18_HUMAN	DNAJB6	Homo sapiens (Human)
DNAJB6	F8WCZ4	F8WCZ4_HUMAN	DNAJB6	Homo sapiens (Human)
DNAJB6	Q49A72	Q49A72_HUMAN	DNAJB6	Homo sapiens (Human)
DNAJB6	Q75MP3	Q75MP3_HUMAN	DNAJB6	Homo sapiens (Human)
SMC4	Q9NTJ3	SMC4_HUMAN	SMC4 CAPC SMC4L1	Homo sapiens (Human)
SMC4	C9IYK2	C9IYK2_HUMAN	SMC4	Homo sapiens (Human)
SMC4	C9J578	C9J578_HUMAN	SMC4	Homo sapiens (Human)
SMC4	C9J9E4	C9J9E4_HUMAN	SMC4	Homo sapiens (Human)
SMC4	C9JJ64	C9JJ64_HUMAN	SMC4	Homo sapiens (Human)
SMC4	C9JR83	C9JR83_HUMAN	SMC4	Homo sapiens (Human)
SMC4	C9JVD8	C9JVD8_HUMAN	SMC4	Homo sapiens (Human)
SMC4	C9JWF0	C9JWF0_HUMAN	SMC4	Homo sapiens (Human)
SMC4	E9PD53	E9PD53_HUMAN	SMC4	Homo sapiens (Human)
SMC4	F8WCB7	F8WCB7_HUMAN	SMC4	Homo sapiens (Human)
SMC4	Q58F29	Q58F29_HUMAN	SMC4	Homo sapiens (Human)
SMC4	Q6NSG3	Q6NSG3_HUMAN	SMC4	Homo sapiens (Human)
SMC4	Q6P169	Q6P169_HUMAN	SMC4	Homo sapiens (Human)
ABCC5	O15440	MRP5_HUMAN	ABCC5 MRP5	Homo sapiens (Human)
ABCC5	A5PKY6	A5PKY6_HUMAN	ABCC5	Homo sapiens (Human)
ABCC5	C9JZL5	C9JZL5_HUMAN	ABCC5	Homo sapiens (Human)
ABCC5	E9PET4	E9PET4_HUMAN	ABCC5	Homo sapiens (Human)
ABCC5	F8WCY8	F8WCY8_HUMAN	ABCC5	Homo sapiens (Human)
ABCC5	F8WDH3	F8WDH3_HUMAN	ABCC5	Homo sapiens (Human)
ABCC5	H7C271	H7C271_HUMAN	ABCC5	Homo sapiens (Human)
ABCB6	Q9NP58	ABCB6_HUMAN	ABCB6 MTABC3 PRP UMAT	Homo sapiens (Human)
ABCB6	A0A1D9ITY9	A0A1D9ITY9_HUMAN	ABCB6	Homo sapiens (Human)
ABCB6	A0A6B9LUA1	A0A6B9LUA1_HUMAN	ABCB6	Homo sapiens (Human)
ABCB6	A0A6B9LUM2	A0A6B9LUM2_HUMAN	ABCB6	Homo sapiens (Human)
ABCB6	H7C049	H7C049_HUMAN	ABCB6	Homo sapiens (Human)
ABCB6	H7C1R6	H7C1R6_HUMAN	ABCB6	Homo sapiens (Human)
ABCB6	H7C245	H7C245_HUMAN	ABCB6	Homo sapiens (Human)
ABCB6	H7C3Z0	H7C3Z0_HUMAN	ABCB6	Homo sapiens (Human)
ABCB6	U3TD89	U3TD89_HUMAN	ABCB6	Homo sapiens (Human)
ABCB6	U3TGG4	U3TGG4_HUMAN	ABCB6	Homo sapiens (Human)
ABCB6	U3THN0	U3THN0_HUMAN	ABCB6	Homo sapiens (Human)
ABCB6	U3THP2	U3THP2_HUMAN	ABCB6	Homo sapiens (Human)
ABCB6	U3TJJ6	U3TJJ6_HUMAN	ABCB6	Homo sapiens (Human)
ABCB6	U3TJK0	U3TJK0_HUMAN	ABCB6	Homo sapiens (Human)
DNM1L	O00429	DNM1L_HUMAN	DNM1L DLP1 DRP1	Homo sapiens (Human)
DNM1L	A0A8V8TQT5	A0A8V8TQT5_HUMAN	DNM1L hCG_1810949	Homo sapiens (Human)
DNM1L	A0A8V8TQV1	A0A8V8TQV1_HUMAN	DNM1L	Homo sapiens (Human)
DNM1L	A0A8V8TRA9	A0A8V8TRA9_HUMAN	DNM1L	Homo sapiens (Human)
DNM1L	A0A994J3F1	A0A994J3F1_HUMAN	DNM1L	Homo sapiens (Human)
DNM1L	A0A994J3G1	A0A994J3G1_HUMAN	DNM1L	Homo sapiens (Human)
DNM1L	A0A994J3G5	A0A994J3G5_HUMAN	DNM1L	Homo sapiens (Human)
DNM1L	A0A994J3M8	A0A994J3M8_HUMAN	DNM1L	Homo sapiens (Human)
DNM1L	A0A994J402	A0A994J402_HUMAN	DNM1L	Homo sapiens (Human)
DNM1L	A0A994J409	A0A994J409_HUMAN	DNM1L	Homo sapiens (Human)
DNM1L	A0A994J691	A0A994J691_HUMAN	DNM1L	Homo sapiens (Human)
DNM1L	A0A994J696	A0A994J696_HUMAN	DNM1L	Homo sapiens (Human)
DNM1L	A0A994J6A0	A0A994J6A0_HUMAN	DNM1L	Homo sapiens (Human)
DNM1L	A0A994J6L3	A0A994J6L3_HUMAN	DNM1L	Homo sapiens (Human)
DNM1L	A0A994J6L8	A0A994J6L8_HUMAN	DNM1L	Homo sapiens (Human)
DNM1L	B4DDQ3	B4DDQ3_HUMAN	DNM1L	Homo sapiens (Human)
DNM1L	B4DPZ9	B4DPZ9_HUMAN	DNM1L	Homo sapiens (Human)
DNM1L	F8VR28	F8VR28_HUMAN	DNM1L	Homo sapiens (Human)
DNM1L	F8VUJ9	F8VUJ9_HUMAN	DNM1L	Homo sapiens (Human)
DNM1L	F8VYL3	F8VYL3_HUMAN	DNM1L	Homo sapiens (Human)
DNM1L	F8VZ52	F8VZ52_HUMAN	DNM1L	Homo sapiens (Human)
DNM1L	F8W1W3	F8W1W3_HUMAN	DNM1L	Homo sapiens (Human)
DNM1L	H0YHY4	H0YHY4_HUMAN	DNM1L	Homo sapiens (Human)
DNM1L	H0YI79	H0YI79_HUMAN	DNM1L	Homo sapiens (Human)
DNM1L	Q32Q67	Q32Q67_HUMAN	DNM1L	Homo sapiens (Human)
TSPAN3	O60637	TSN3_HUMAN	TSPAN3 TM4SF8	Homo sapiens (Human)
TSPAN3	H0YKJ9	H0YKJ9_HUMAN	TSPAN3	Homo sapiens (Human)
TSPAN3	H0YMH8	H0YMH8_HUMAN	TSPAN3	Homo sapiens (Human)
TSPAN3	L8E893	L8E893_HUMAN	TSPAN3	Homo sapiens (Human)
KIF20A	O95235	KI20A_HUMAN	KIF20A MKLP2 RAB6KIFL	Homo sapiens (Human)
KIF20A	D6R9E4	D6R9E4_HUMAN	KIF20A	Homo sapiens (Human)
KIF20A	D6RBN1	D6RBN1_HUMAN	KIF20A	Homo sapiens (Human)
KIF20A	H0YAC9	H0YAC9_HUMAN	KIF20A	Homo sapiens (Human)
ARL4C	P56559	ARL4C_HUMAN	ARL4C ARL7	Homo sapiens (Human)
TRAP1	Q12931	TRAP1_HUMAN	TRAP1 HSP75 HSPC5	Homo sapiens (Human)
TRAP1	Q58FF3	ENPLL_HUMAN	HSP90B2P GRP94B GRP94P1 TRAP1	Homo sapiens (Human)
TRAP1	I3L0K7	I3L0K7_HUMAN	TRAP1 hCG_16634	Homo sapiens (Human)
TRAP1	I3L0P6	I3L0P6_HUMAN	TRAP1	Homo sapiens (Human)
TRAP1	I3L239	I3L239_HUMAN	TRAP1	Homo sapiens (Human)
TRAP1	I3L253	I3L253_HUMAN	TRAP1	Homo sapiens (Human)
TRAP1	I3L2D5	I3L2D5_HUMAN	TRAP1	Homo sapiens (Human)
TRAP1	I3L3L4	I3L3L4_HUMAN	TRAP1	Homo sapiens (Human)
TRAP1	I3L4L7	I3L4L7_HUMAN	TRAP1	Homo sapiens (Human)
TRAP1	K0A7K7	K0A7K7_HUMAN	TRAP1	Homo sapiens (Human)
TRAP1	Q5CAQ4	Q5CAQ4_HUMAN	TRAP1	Homo sapiens (Human)
TRAP1	Q9BV61	Q9BV61_HUMAN	TRAP1	Homo sapiens (Human)
G3BP1	Q13283	G3BP1_HUMAN	G3BP1 G3BP	Homo sapiens (Human)
G3BP1	A0A7I2V274	A0A7I2V274_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2V2S5	A0A7I2V2S5_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2V2V1	A0A7I2V2V1_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2V2X7	A0A7I2V2X7_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2V326	A0A7I2V326_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2V3C4	A0A7I2V3C4_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2V3V2	A0A7I2V3V2_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2V3Y4	A0A7I2V3Y4_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2V494	A0A7I2V494_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2V496	A0A7I2V496_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2V4D8	A0A7I2V4D8_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2V4Y8	A0A7I2V4Y8_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2V533	A0A7I2V533_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2V548	A0A7I2V548_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2V565	A0A7I2V565_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2V5H1	A0A7I2V5H1_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2V5M7	A0A7I2V5M7_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2V651	A0A7I2V651_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2YQB1	A0A7I2YQB1_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2YQC2	A0A7I2YQC2_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2YQF2	A0A7I2YQF2_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2YQH0	A0A7I2YQH0_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2YQM1	A0A7I2YQM1_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2YQN9	A0A7I2YQN9_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2YQP3	A0A7I2YQP3_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2YQQ8	A0A7I2YQQ8_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2YQR4	A0A7I2YQR4_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7I2YQU8	A0A7I2YQU8_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	A0A7P0P2U7	A0A7P0P2U7_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	E5RH00	E5RH00_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	E5RH42	E5RH42_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	E5RI46	E5RI46_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	E5RIF8	E5RIF8_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	E5RJU8	E5RJU8_HUMAN	G3BP1	Homo sapiens (Human)
G3BP1	Q32P45	Q32P45_HUMAN	G3BP1	Homo sapiens (Human)
MBNL2	Q5VZF2	MBNL2_HUMAN	MBNL2 MBLL MBLL39 MLP1	Homo sapiens (Human)
MBNL2	A0A7P0T9I3	A0A7P0T9I3_HUMAN	MBNL2	Homo sapiens (Human)
MBNL2	A0A8I5KU79	A0A8I5KU79_HUMAN	MBNL2	Homo sapiens (Human)
MBNL2	A0A8I5KYZ5	A0A8I5KYZ5_HUMAN	MBNL2	Homo sapiens (Human)
MBNL2	A0A994J506	A0A994J506_HUMAN	MBNL2	Homo sapiens (Human)
MBNL2	A0A994J509	A0A994J509_HUMAN	MBNL2	Homo sapiens (Human)
MBNL2	A0PJJ3	A0PJJ3_HUMAN	MBNL2	Homo sapiens (Human)
MBNL2	A2A3S3	A2A3S3_HUMAN	MBNL2 hCG_27557	Homo sapiens (Human)
MBNL2	O95205	O95205_HUMAN	MBNL2 MBLL hCG_27557	Homo sapiens (Human)
MBNL2	Q5JSC0	Q5JSC0_HUMAN	MBNL2	Homo sapiens (Human)
CEBPZ	Q03701	CEBPZ_HUMAN	CEBPZ CBF2	Homo sapiens (Human)
CEBPZ	C9J9W7	C9J9W7_HUMAN	CEBPZ	Homo sapiens (Human)
SLC25A13	Q9UJS0	S2513_HUMAN	SLC25A13	Homo sapiens (Human)
SLC25A13	Q75KX8	Q75KX8_HUMAN	SLC25A13	Homo sapiens (Human)
SLC25A13	Q75M55	Q75M55_HUMAN	SLC25A13	Homo sapiens (Human)
SLC25A13	R4GN64	R4GN64_HUMAN	SLC25A13	Homo sapiens (Human)
CDK2	P24941	CDK2_HUMAN	CDK2 CDKN2	Homo sapiens (Human)
CDK2	E7ESI2	E7ESI2_HUMAN	CDK2	Homo sapiens (Human)
CDK2	G3V317	G3V317_HUMAN	CDK2	Homo sapiens (Human)
CDK2	G3V5T9	G3V5T9_HUMAN	CDK2 hCG_24992	Homo sapiens (Human)
SORBS3	O60504	VINEX_HUMAN	SORBS3 SCAM1	Homo sapiens (Human)
SORBS3	E5RIA0	E5RIA0_HUMAN	SORBS3	Homo sapiens (Human)
SORBS3	E5RJP2	E5RJP2_HUMAN	SORBS3	Homo sapiens (Human)
SORBS3	E7EQH0	E7EQH0_HUMAN	SORBS3	Homo sapiens (Human)
SORBS3	H0YAU6	H0YAU6_HUMAN	SORBS3	Homo sapiens (Human)
SORBS3	H0YAZ3	H0YAZ3_HUMAN	SORBS3	Homo sapiens (Human)
SORBS3	H0YB51	H0YB51_HUMAN	SORBS3	Homo sapiens (Human)
SORBS3	Q9BT70	Q9BT70_HUMAN	SORBS3	Homo sapiens (Human)
RBM6	P78332	RBM6_HUMAN	RBM6 DEF3	Homo sapiens (Human)
RBM6	C9J250	C9J250_HUMAN	RBM6	Homo sapiens (Human)
RBM6	C9JII0	C9JII0_HUMAN	RBM6	Homo sapiens (Human)
RBM6	C9JMC8	C9JMC8_HUMAN	RBM6	Homo sapiens (Human)
RBM6	C9JSL1	C9JSL1_HUMAN	RBM6	Homo sapiens (Human)
RBM6	E9PGM9	E9PGM9_HUMAN	RBM6	Homo sapiens (Human)
RBM6	F8WCA5	F8WCA5_HUMAN	RBM6	Homo sapiens (Human)
RBM6	F8WCT0	F8WCT0_HUMAN	RBM6	Homo sapiens (Human)
RBM6	F8WF63	F8WF63_HUMAN	RBM6	Homo sapiens (Human)
CDK4	P11802	CDK4_HUMAN	CDK4	Homo sapiens (Human)
CDK4	A0A6H0CER3	A0A6H0CER3_HUMAN	CDK4	Homo sapiens (Human)
CDK4	F8VTV8	F8VTV8_HUMAN	CDK4	Homo sapiens (Human)
CDK4	F8VWX7	F8VWX7_HUMAN	CDK4	Homo sapiens (Human)
CDK4	F8VXD2	F8VXD2_HUMAN	CDK4	Homo sapiens (Human)
CDK4	F8VYH9	F8VYH9_HUMAN	CDK4	Homo sapiens (Human)
CDK4	F8VYY1	F8VYY1_HUMAN	CDK4	Homo sapiens (Human)
CDK4	F8VZ13	F8VZ13_HUMAN	CDK4	Homo sapiens (Human)
CDK4	F8VZ51	F8VZ51_HUMAN	CDK4	Homo sapiens (Human)
CDK4	F8VZZ0	F8VZZ0_HUMAN	CDK4	Homo sapiens (Human)
CDK4	F8W1L8	F8W1L8_HUMAN	CDK4	Homo sapiens (Human)
CDK4	Q6LC83	Q6LC83_HUMAN	CDK4 hCG_40151	Homo sapiens (Human)
CDK4	Q96BE9	Q96BE9_HUMAN	CDK4 hCG_40151	Homo sapiens (Human)
TXNDC9	O14530	TXND9_HUMAN	TXNDC9 APACD	Homo sapiens (Human)
TXNDC9	B8ZZX4	B8ZZX4_HUMAN	TXNDC9	Homo sapiens (Human)
TXNDC9	F8WBV5	F8WBV5_HUMAN	TXNDC9	Homo sapiens (Human)
TXNDC9	F8WCJ3	F8WCJ3_HUMAN	TXNDC9	Homo sapiens (Human)
TXNDC9	G3XAJ4	G3XAJ4_HUMAN	TXNDC9 hCG_1733674	Homo sapiens (Human)
ADAM10	O14672	ADA10_HUMAN	ADAM10 KUZ MADM	Homo sapiens (Human)
ADAM10	A0A087WYG1	A0A087WYG1_HUMAN	ADAM10	Homo sapiens (Human)
ADAM10	A0AV88	A0AV88_HUMAN	ADAM10	Homo sapiens (Human)
ADAM10	B5MC71	B5MC71_HUMAN	ADAM10	Homo sapiens (Human)
ADAM10	C9J9B4	C9J9B4_HUMAN	ADAM10	Homo sapiens (Human)
ADAM10	H0YK32	H0YK32_HUMAN	ADAM10	Homo sapiens (Human)
ADAM10	H0YK87	H0YK87_HUMAN	ADAM10	Homo sapiens (Human)
ADAM10	H0YNC5	H0YNC5_HUMAN	ADAM10	Homo sapiens (Human)
ADAM10	H3BS53	H3BS53_HUMAN	ADAM10	Homo sapiens (Human)
ADAM10	L8E9R5	L8E9R5_HUMAN	ADAM10	Homo sapiens (Human)
TRIM13	O60858	TRI13_HUMAN	TRIM13 LEU5 RFP2 RNF77	Homo sapiens (Human)
TRIM13	L8E9D0	L8E9D0_HUMAN	TRIM13	Homo sapiens (Human)
TRIM13	X6R9U5	X6R9U5_HUMAN	TRIM13	Homo sapiens (Human)
TRIM13	X6RH27	X6RH27_HUMAN	TRIM13	Homo sapiens (Human)
CDK6	Q00534	CDK6_HUMAN	CDK6 CDKN6	Homo sapiens (Human)
CDK7	P50613	CDK7_HUMAN	CDK7 CAK CAK1 CDKN7 MO15 STK1	Homo sapiens (Human)
CDK7	A0A0S2Z3F9	A0A0S2Z3F9_HUMAN	CDK7 hCG_1988840	Homo sapiens (Human)
CDK7	D6R9G1	D6R9G1_HUMAN	CDK7	Homo sapiens (Human)
CDK7	D6R9Z2	D6R9Z2_HUMAN	CDK7	Homo sapiens (Human)
CDK7	D6RAD4	D6RAD4_HUMAN	CDK7	Homo sapiens (Human)
CDK7	D6REC6	D6REC6_HUMAN	CDK7	Homo sapiens (Human)
CDK7	D6RF14	D6RF14_HUMAN	CDK7	Homo sapiens (Human)
CDK7	D6RFL0	D6RFL0_HUMAN	CDK7	Homo sapiens (Human)
CDK7	D6RGG9	D6RGG9_HUMAN	CDK7	Homo sapiens (Human)
CDK7	D6RI01	D6RI01_HUMAN	CDK7	Homo sapiens (Human)
CDK7	D6RIG9	D6RIG9_HUMAN	CDK7	Homo sapiens (Human)
TRIB1	Q96RU8	TRIB1_HUMAN	TRIB1 C8FW GIG2 TRB1	Homo sapiens (Human)
TRIB1	E5RFH4	E5RFH4_HUMAN	TRIB1	Homo sapiens (Human)
MFSD10	Q14728	MFS10_HUMAN	MFSD10 TETRAN	Homo sapiens (Human)
MFSD10	D6R9N3	D6R9N3_HUMAN	MFSD10	Homo sapiens (Human)
MFSD10	D6RA47	D6RA47_HUMAN	MFSD10	Homo sapiens (Human)
MFSD10	D6RE79	D6RE79_HUMAN	MFSD10	Homo sapiens (Human)
MFSD10	D6RHV1	D6RHV1_HUMAN	MFSD10	Homo sapiens (Human)
MFSD10	D6RIZ4	D6RIZ4_HUMAN	MFSD10	Homo sapiens (Human)
SLC35B1	P78383	S35B1_HUMAN	SLC35B1 UGTREL1	Homo sapiens (Human)
SLC35B1	D6R981	D6R981_HUMAN	SLC35B1	Homo sapiens (Human)
SLC35B1	D6R9G9	D6R9G9_HUMAN	SLC35B1	Homo sapiens (Human)
SLC35B1	D6RB73	D6RB73_HUMAN	SLC35B1	Homo sapiens (Human)
SLC35B1	D6RDY9	D6RDY9_HUMAN	SLC35B1	Homo sapiens (Human)
SLC35B1	D6RE58	D6RE58_HUMAN	SLC35B1	Homo sapiens (Human)
SLC35B1	D6RF81	D6RF81_HUMAN	SLC35B1	Homo sapiens (Human)
SLC35B1	D6RG34	D6RG34_HUMAN	SLC35B1	Homo sapiens (Human)
SLC35B1	D6RHG0	D6RHG0_HUMAN	SLC35B1	Homo sapiens (Human)
TIMM17B	O60830	TI17B_HUMAN	TIMM17B TIM17B JM3	Homo sapiens (Human)
TIMM17B	A0A8Q3SIA0	A0A8Q3SIA0_HUMAN	TIMM17B	Homo sapiens (Human)
TIMM17B	Q8NCS3	Q8NCS3_HUMAN	TIMM17B	Homo sapiens (Human)
TIMM17B	V9GYK7	V9GYK7_HUMAN	TIMM17B	Homo sapiens (Human)
TIMM17B	V9GYS0	V9GYS0_HUMAN	TIMM17B	Homo sapiens (Human)
TIMM17B	V9GYU0	V9GYU0_HUMAN	TIMM17B	Homo sapiens (Human)
CDKN1A	P38936	CDN1A_HUMAN	CDKN1A CAP20 CDKN1 CIP1 MDA6 PIC1 SDI1 WAF1	Homo sapiens (Human)
CDKN1B	P46527	CDN1B_HUMAN	CDKN1B KIP1 p27	Homo sapiens (Human)
CDKN1B	A7KMP4	A7KMP4_HUMAN	CDKN1B	Homo sapiens (Human)
CDKN1B	E7ES52	E7ES52_HUMAN	CDKN1B	Homo sapiens (Human)
CDKN1B	H7C2T1	H7C2T1_HUMAN	CDKN1B	Homo sapiens (Human)
CDKN1B	Q6I9V6	Q6I9V6_HUMAN	CDKN1B hCG_27692	Homo sapiens (Human)
CDKN1B	Q708J1	Q708J1_HUMAN	CDKN1B	Homo sapiens (Human)
AKAP8	O43823	AKAP8_HUMAN	AKAP8 AKAP95	Homo sapiens (Human)
AKAP8	A0A7P0T893	A0A7P0T893_HUMAN	AKAP8	Homo sapiens (Human)
AKAP8	A0A7P0TAA4	A0A7P0TAA4_HUMAN	AKAP8	Homo sapiens (Human)
AKAP8	A0A7P0TBC8	A0A7P0TBC8_HUMAN	AKAP8	Homo sapiens (Human)
AKAP8	M0QX51	M0QX51_HUMAN	AKAP8	Homo sapiens (Human)
AKAP8	Q8NE02	Q8NE02_HUMAN	AKAP8	Homo sapiens (Human)
STUB1	Q9UNE7	CHIP_HUMAN	STUB1 CHIP PP1131	Homo sapiens (Human)
STUB1	H3BS86	H3BS86_HUMAN	STUB1	Homo sapiens (Human)
STUB1	H3BTA3	H3BTA3_HUMAN	STUB1	Homo sapiens (Human)
STUB1	H3BUD0	H3BUD0_HUMAN	STUB1	Homo sapiens (Human)
STUB1	V9GYH3	V9GYH3_HUMAN	STUB1	Homo sapiens (Human)
NET1	P23975	SC6A2_HUMAN	SLC6A2 NAT1 NET1 SLC6A5	Homo sapiens (Human)
NET1	Q7Z628	ARHG8_HUMAN	NET1 ARHGEF8	Homo sapiens (Human)
NET1	Q9Y345	SC6A5_HUMAN	SLC6A5 GLYT2 NET1	Homo sapiens (Human)
NET1	A0A2X0SFV4	A0A2X0SFV4_HUMAN	NET1	Homo sapiens (Human)
NET1	Q5SQI5	Q5SQI5_HUMAN	NET1 hCG_19072	Homo sapiens (Human)
NET1	Q5SQI6	Q5SQI6_HUMAN	NET1	Homo sapiens (Human)
NET1	Q5SQI7	Q5SQI7_HUMAN	NET1 hCG_19072	Homo sapiens (Human)
SMNDC1	O75940	SPF30_HUMAN	SMNDC1 SMNR SPF30	Homo sapiens (Human)
